Complete Financial Statements for Tata Motors (TATAMOTORS)
Generated on: 2025-06-25 15:52:52

INCOME STATEMENT (₹ Crores)
Period,Revenue,Expenses,EBITDA,Operating Profit %,Depreciation,Interest,PBT,Tax,Net Profit,EPS
Mar 2025,120550.0,103251.0,17299.0,13.0,5295.0,1076.0,11504.0,2948.0,8556.0,23.4
Sept 2024,102182.0,89292.0,12890.0,11.0,6005.0,2034.0,5767.0,2317.0,3450.0,9.72
Mar 2024,119945.0,102581.0,17364.0,13.0,7143.0,1645.0,9309.0,-8219.0,17528.0,45.42
Jun 2024,109063.0,92263.0,16800.0,14.0,6574.0,2088.0,8870.0,3178.0,5692.0,14.51
Dec 2024,113623.0,100211.0,13412.0,10.0,5399.0,1119.0,7605.0,2120.0,5485.0,14.75
Sept 2023,106123.0,91484.0,14639.0,12.0,6637.0,2652.0,6035.0,2203.0,3832.0,9.81
Mar 2023,106747.0,93095.0,13652.0,11.0,7050.0,2642.0,4875.0,-621.0,5496.0,14.11
Jun 2023,103100.0,89696.0,13404.0,12.0,6633.0,2615.0,4864.0,1563.0,3301.0,8.35
Dec 2023,111491.0,95247.0,16244.0,13.0,6850.0,2485.0,7687.0,542.0,7145.0,18.32
Sept 2022,80208.0,74049.0,6159.0,6.0,5897.0,2487.0,-1461.0,-563.0,-898.0,-2.47
Mar 2022,78778.0,70888.0,7890.0,9.0,6432.0,2381.0,-341.0,651.0,-992.0,-2.7
Jun 2022,73610.0,69523.0,4087.0,2.0,5841.0,2421.0,-3468.0,1483.0,-4951.0,-13.07
Dec 2022,88914.0,77669.0,11245.0,12.0,6072.0,2676.0,3203.0,160.0,3043.0,7.71
Sept 2021,61305.0,57269.0,4036.0,5.0,6123.0,2327.0,-3472.0,944.0,-4416.0,-11.6
Mar 2021,90342.0,90479.0,-137.0,-3.0,6217.0,2145.0,-7643.0,-58.0,-7585.0,-20.24
Jun 2021,66120.0,61164.0,4956.0,7.0,6202.0,2203.0,-2579.0,1872.0,-4450.0,-11.62
Dec 2021,72196.0,65151.0,7044.0,9.0,6078.0,2401.0,-612.0,839.0,-1451.0,-3.96
Sept 2020,53480.0,47434.0,6045.0,10.0,5602.0,1950.0,-815.0,-507.0,-307.0,-0.87
Mar 2020,62518.0,64607.0,-2089.0,-4.0,5815.0,1953.0,-9313.0,551.0,-9864.0,-27.5
Jun 2020,32092.0,31300.0,791.0,1.0,5599.0,1877.0,-6184.0,2260.0,-8444.0,-23.46
Dec 2020,75594.0,63947.0,11647.0,15.0,6129.0,2126.0,4167.0,1226.0,2942.0,8.07
Sept 2019,65570.0,58483.0,7088.0,10.0,5300.0,1835.0,621.0,809.0,-188.0,-0.64
Mar 2019,86973.0,79513.0,7460.0,7.0,5353.0,1588.0,1265.0,156.0,1109.0,3.28
Jun 2019,61666.0,58718.0,2948.0,3.0,5112.0,1712.0,-3238.0,442.0,-3680.0,-10.89
Dec 2019,71962.0,64294.0,7668.0,10.0,5199.0,1744.0,1350.0,-406.0,1756.0,5.02
Sept 2018,72041.0,66385.0,5656.0,7.0,5941.0,1227.0,-823.0,186.0,-1010.0,-3.09
Mar 2018,90682.0,81670.0,9012.0,8.0,6488.0,1178.0,2308.0,133.0,2175.0,6.24
Jun 2018,66562.0,62658.0,3904.0,5.0,5857.0,1375.0,-2584.0,-722.0,-1863.0,-5.6
Dec 2018,76932.0,98803.0,-21872.0,-30.0,6439.0,1569.0,-29228.0,-2268.0,-26961.0,-79.49
Sept 2017,70611.0,61681.0,8930.0,12.0,4970.0,1147.0,3081.0,580.0,2502.0,7.4
Mar 2017,77451.0,66452.0,11000.0,14.0,4670.0,1164.0,5166.0,829.0,4336.0,12.74
Jun 2017,62268.0,52897.0,9370.0,10.0,4525.0,1109.0,3737.0,537.0,3200.0,9.46
Dec 2017,73056.0,65491.0,7565.0,9.0,5571.0,1247.0,2029.0,814.0,1215.0,3.51
Sept 2016,63717.0,57239.0,6478.0,10.0,4454.0,1025.0,999.0,151.0,848.0,2.52
Mar 2016,80304.0,68690.0,11613.0,14.0,4346.0,1379.0,5888.0,677.0,5212.0,15.23
Jun 2016,65669.0,57388.0,8281.0,12.0,4551.0,1179.0,2551.0,291.0,2260.0,6.57
Dec 2016,64817.0,59118.0,5699.0,8.0,4230.0,871.0,599.0,487.0,112.0,0.26
Sept 2015,61283.0,58346.0,2937.0,4.0,4362.0,1223.0,-2150.0,-410.0,-1740.0,-5.19
Mar 2015,67543.0,59501.0,8043.0,12.0,3857.0,1895.0,2771.0,1021.0,1750.0,5.42
Jun 2015,59852.0,49404.0,10448.0,16.0,3742.0,1150.0,6974.0,1719.0,5254.0,15.76
Dec 2015,68702.0,62107.0,6596.0,9.0,4262.0,1138.0,3414.0,461.0,2953.0,8.63

BALANCE SHEET (₹ Crores)
Year,Total Assets,Current Assets,Fixed Assets,CWIP,Investments,Other Assets,Total Liabilities,Current Liabilities,Non-Current Liabilities,Total Equity,Share Capital,Reserves & Surplus
2025,378642.0,160325.0,115697.0,65806.0,35656.0,161483.0,378642.0,89204.0,0,122754.0,736.0,110421.0
2024,370664.0,168392.0,121285.0,35698.0,22971.0,190710.0,370664.0,103954.0,0,93094.0,767.0,81788.0
2023,336081.0,150701.0,132080.0,14275.0,26379.0,163348.0,336081.0,128455.0,0,52600.0,766.0,41746.0
2022,330620.0,146978.0,138856.0,10251.0,29380.0,152134.0,330620.0,131105.0,0,48832.0,766.0,43795.0
2021,343126.0,146888.0,138708.0,20964.0,24620.0,158834.0,343126.0,128556.0,0,56820.0,766.0,54481.0
2020,322121.0,119587.0,127107.0,35622.0,16309.0,143083.0,322121.0,117775.0,0,63892.0,720.0,61492.0
2019,307195.0,123431.0,111235.0,31884.0,15771.0,148306.0,307195.0,101035.0,0,60703.0,679.0,59500.0
2018,331351.0,135973.0,121414.0,40034.0,20813.0,149090.0,331351.0,92178.0,0,95953.0,679.0,94749.0
2017,273754.0,116120.0,95944.0,33699.0,20338.0,123774.0,273754.0,99610.0,0,58515.0,679.0,57383.0
2016,267141.0,109924.0,107232.0,25919.0,23767.0,110223.0,267141.0,80707.0,0,79385.0,679.0,78273.0
2015,238658.0,101758.0,88480.0,28640.0,14096.0,107442.0,238658.0,81691.0,0,56695.0,644.0,55618.0

CASH FLOW STATEMENT (₹ Crores)
Period,Operating Activities,Investing Activities,Financing Activities,Net Cash Flow
March 2025,63102.0,-49982.0,-18786.0,-5666.0
March 2024,67915.0,-22781.0,-37006.0,8128.0
March 2023,35388.0,-15417.0,-26243.0,-6272.0
March 2022,14283.0,-4444.0,-3380.0,6459.0
March 2021,29001.0,-25673.0,9904.0,13232.0
March 2020,26633.0,-33115.0,3390.0,-3092.0
